firstname	lastname	age	team	games	at_bats	runs	hits	doubles	triples	homeruns	RBIs	walks	strikeouts	bat_ave 	on_base_pct  	slugging_pct 	stolen_bases	caught_stealing			xi*yi	xi^2					
Manny	Ramirez	30	BOS	120	436	84	152	31	0	33	107	73	85	0.349	0.45	0.647	0	0			11.52	1089.00					
*Brad	Fullmer	27	ANA	130	429	75	124	35	6	19	59	32	44	0.289	0.357	0.531	10	3			5.49	361.00					
Ben	Molina	27	ANA	122	428	34	105	18	0	5	47	15	34	0.245	0.274	0.322	0	0			1.23	25.00					
Jerry	Hairston	26	BAL	122	426	55	114	25	3	5	32	34	55	0.268	0.329	0.376	21	6			1.34	25.00					
Geronim	Gil	26	BAL	125	422	33	98	19	0	12	45	21	88	0.232	0.27	0.363	2	2			2.78	144.00					
#Ruben	Sierra	36	SEA	122	419	47	113	23	0	13	60	31	66	0.27	0.319	0.418	4	0			3.51	169.00					
*Matt	Lawton	30	CLE	114	416	71	98	19	2	15	57	59	34	0.236	0.342	0.399	8	9			3.54	225.00					
*David	Ortiz	26	MIN	125	412	52	112	32	1	20	75	43	87	0.272	0.339	0.5	1	2			5.44	400.00					
Shane	Halter	32	DET	122	410	46	98	22	6	10	39	39	92	0.239	0.309	0.395	0	4			2.39	100.00					
Ivan	Rodrigue	30	TEX	108	408	67	128	32	2	19	60	25	71	0.314	0.353	0.542	5	4			5.97	361.00					
Ramon	Hernande	26	OAK	136	403	51	94	20	0	7	42	43	64	0.233	0.313	0.335	0	0			1.63	49.00					
*David	Justice	36	OAK	118	398	54	106	18	3	11	49	70	66	0.266	0.376	0.41	4	1			2.93	121.00					
Travis	Fryman	33	CLE	118	397	42	86	14	3	11	55	40	82	0.217	0.292	0.35	0	0			2.39	121.00					
*Carlos	Pena	24	TOT	115	397	43	96	17	4	19	52	41	111	0.242	0.316	0.448	2	2			4.60	361.00					
Dustan	Mohr	26	MIN	120	383	55	103	23	2	12	45	31	86	0.269	0.325	0.433	6	3			3.23	144.00					
*Nick	Johnson	23	NYY	129	378	56	92	15	0	15	58	48	98	0.243	0.347	0.402	1	3			3.65	225.00					
Dave	Berg	31	TOR	109	374	42	101	26	2	4	39	26	57	0.27	0.322	0.382	0	2			1.08	16.00					
